tweet_id,created_at,text,retweet,like,replies
1860047803998961934,2024-11-22 19:48:49+00:00,I instantly lose respect for anyone who posts on LinkedIn. Unbearably cringe. https://t.co/tuCWhXYGOI,5468,59210,6089
1860045818402865429,2024-11-22 19:40:55+00:00,"RT @Teslaconomics: I don’t know about you, but to me the future looks fuckin amazing https://t.co/CLMnILkqHH",815,0,0
1860044768857981124,2024-11-22 19:36:45+00:00,@DonaldJTrumpJr 😂,169,3608,421
1860044282448740377,2024-11-22 19:34:49+00:00,https://t.co/bi1kHI4vJK,5663,57129,3106
1860044193030373430,2024-11-22 19:34:28+00:00,@greg_price11 @MikeJohnstonCO The mayor of Denver hates his constituents,253,1799,139
1860041815111663689,2024-11-22 19:25:01+00:00,@AlexFinnX 🤣🤣,46,1222,175
1860040571626340764,2024-11-22 19:20:04+00:00,"The most entertaining outcome, especially if ironic, is most likely 😂 https://t.co/YX2EznXfoF",11603,101687,7725
1860040035439116711,2024-11-22 19:17:56+00:00,Saturn V and Shuttle for scale https://t.co/Mxe3Gkskij,3682,28366,2308
1860039919349190861,2024-11-22 19:17:29+00:00,@GailAlfarATX Yeah,24,546,57
1860039852353552469,2024-11-22 19:17:13+00:00,@TheRabbitHole84 Nope,46,948,90
1860039743297454084,2024-11-22 19:16:47+00:00,@cars4free @Grummz Cool,21,394,32
1860039263842369564,2024-11-22 19:14:53+00:00,@BillyM2k 🔥🔥😎😎,39,755,162
1860038999622267195,2024-11-22 19:13:50+00:00,@notch 😂,11,401,51
1860038631349714969,2024-11-22 19:12:22+00:00,"The legacy media lied to the people of Norway and many other countries.

Forward https://t.co/bOUOek6al6 links to friends &amp; family, so they know what’s really going on! https://t.co/LBHz86NJl1",5102,27683,1359
1860038160664920540,2024-11-22 19:10:29+00:00,What is happening in Britain!? https://t.co/2QmYZEypF2,8498,54605,7298
1860037841029579191,2024-11-22 19:09:13+00:00,"@ajtourville Well then, they should launch more satellites 😂

What’s holding them back? Do it.",208,2426,217
1860037605162967048,2024-11-22 19:08:17+00:00,@peterrhague 😂,14,431,22
1860037420710080687,2024-11-22 19:07:33+00:00,@DonaldJTrumpJr How much does it cost?,4030,42560,6220
1860037362883215799,2024-11-22 19:07:19+00:00,@DonaldJTrumpJr 😂,96,2752,164
1860037050801750053,2024-11-22 19:06:05+00:00,Starlink Mini gives you super fast Internet almost anywhere in the world and fits in a backpack https://t.co/FdOv6ZcDZz,2458,19812,2054
1860008572698132894,2024-11-22 17:12:55+00:00,@stclairashley Wow 😬,83,1194,264
1860007012144415083,2024-11-22 17:06:43+00:00,@BasedBeffJezos Yes,22,546,72
1860006874718044598,2024-11-22 17:06:10+00:00,Yes https://t.co/5suf8GYVCo,5274,26665,1947
1860006643599311098,2024-11-22 17:05:15+00:00,@TheChiefNerd Exactly,88,1119,91
1860006507162796126,2024-11-22 17:04:43+00:00,Hot staging &amp; boostback burn https://t.co/HFThET0jdn,2914,21771,1829
1860005940776567110,2024-11-22 17:02:28+00:00,Same https://t.co/vtz7gjwOYE,6339,96682,3134
1860005811998847032,2024-11-22 17:01:57+00:00,"Over 10,000% … @DOGE is sorely needed! https://t.co/2IlINgQZHI",10138,47092,2625
1860005037101187177,2024-11-22 16:58:52+00:00,@twatterbaas Terrible,55,837,104
